Move,Category,Description,Type,PP,Power,Acc,Launch,Spray,Pull,Path
BafflingBunt,Batting,Squares for a bunt. Unsquares. Squares again. Takes a pitch. Confuses the pitcher.,Ghost,10,0,100,,,,
Dead Pull,Batting,"Hard hit, pulled right down the line.",Ghost,10,90,100,5,5,1,
Lick,Batting,Has a ~30% chance to paralyze the fielder. This move fails against Psychic-type pitches.,Ghost,30,20,100,10,,,
Possess,Pitching,A pitch that can be controlled after it's thrown,Ghost,5,0,100,,,,Knuckle
Kudzuball,Pitching,A fastball that's all over the place.,Grass,10,90,60,,,,Straight
Grassburner,Batting,A hard hit ground ball with a chance of burning the fielder.,Grass,5,120,100,0,30,-0.5,
Hardwood,Batting,A hard swing with a big stick.,Grass,15,90,75,30,30,0,
Sleeper,Batting,Takes a pitch. Lulls the pitcher to sleep. ,Grass,10,0,25,,,,None
Plant n Turn,Batting,Has a high critical hit ratio.,Grass,25,55,95,15,10,0.5,
Bouncer,Pitching,Bounces in the dirt.,Ground,15,0,100,,,,Straight
Chop Down,Batting,Almost certainly a grounder. Often bounces right in front of the plate and stays in the air for a long time.,Ground,45,60,100,-10,,,
Crack,Batting,"If it connects, it's gone.",Ground,5,250,30,15,30,0.5,
Dig In,Batting,"On the first pitch, the batter digs in. On the second pitch, the batter attacks anything close.",Ground,10,100,100,0,,,
Kickup Sand,Batting,Takes a pitch. Lowers the catcher's Accuracy by 1 stage.,Ground,15,0,100,,,,
Spelunker,Pitching,A forkball that takes a hard turn out of the strikezone at the last second.,Ground,15,0,100,,,,Drop
ColdShoulder,Pitching,Looks over their shoulder. Throws to first. Has a 30% chance of freezing the runner.,Ice,5,0,30,,,,None
Frozen Rope,Batting,A hard hit line drive that has a 10% chance of freezing the fielder.,Ice,10,90,90,10,,,
Shiver,Batting,Takes a pitch. The batter's preocupation with how cold they've gotten protects them from negative stat modifiers caused by other players until the end of the plate appearance.,Ice,30,0,100,,,,
Bunt,Batting,Great for advancing runners.,Normal,30,10,100,,,,
Push Bunt,Batting,A hard bunt meant to go past a charging infielder.,Normal,20,40,100,,,,
Drag Bunt,Batting,A bunt with a running start. Speed +1.,Normal,15,10,100,,,,
Barrage,Pitching,"A harder fastball thrown 2-5 times in a row. This pitch has a 3/8 chance of being thrown twice, a 3/8 chance of being thrown three times, a 1/8 chance of being thrown four times, and a 1/8 chance of being thrown five times.",Normal,10,150,85,,,,Straight
Bash,Batting,"Takes a pitch, lowers their head, and swings hard on the next turn.",Normal,25,90,100,,,,
Bomb,Batting,A hard swing with a high launch angle.,Normal,15,120,70,,,,
Changeup,Pitching,"A straight change. Same motion as a fastball, but much slower.",Normal,30,70,95,,,,Straight
Chant,Batting,"Takes a pitch, steps out of the box, the crowd starts to chant. Pitcher sleeps on the runners.",Normal,5,0,55,5,,,
CircleChange,Pitching,A changeup thrown with the thumb and index finger touching. Breaks similar to a screwball.,Normal,30,70,80,,,,Rise
Curveball,Pitching,A 12-6 curveball.,Normal,25,70,85,,,,Curve
Cut,Batting,"A good, hard swing.",Normal,30,75,95,15,,,
Cutter,Pitching,A fastball that tails in from the pitcher.,Normal,20,85,90,,,,Cut
Eephus Pitch,Pitching,A super slow pitch that drops through the strikezone. It often catches batters off guard.,Normal,10,30,80,,,,Eephus
Explode,Pitching,A fastball that takes everything a pitcher has left.,Normal,5,200,75,,,,
Fastball,Pitching,A hard thrown ball... with an unsure grip.,Normal,35,40,75,,,,Straight
Flash,Batting,"At just the right angle, you can blind the pitcher flashing a bunt. Lowers the pitcher's Accuracy by 1 stage.",Normal,20,0,70,,,,
Focus,Batting,Takes a pitch. Increases critical hit ratio.,Normal,30,0,100,,,,
Forkball,Pitching,A changeup thrown like a splitter. Breaks with a more gental downward motion.,Normal,30,70,85,,,,Drop
Fosh,Pitching,A cross between a split-finger pitch and a straight change.,Normal,30,70,100,,,,Straight
Four-Seam,Pitching,A four-seam fastball.,Normal,30,85,95,,,,Straight
Glare,Batting,Takes a pitch. Paralyzes the pitcher. Works on Ghost-type pitchers.,Normal,30,0,75,,,,
Gyroball,Pitching,A pitch thrown with a spiral-like spin so that the Magnus force is in the same direction as the ball's movement.,Normal,20,70,80,,,,Drop
Harden,Batting,Takes a pitch. Raises the user's Batting by 1 stage.,Normal,30,0,100,,,,
Knuckleball,Pitching,"A tough-to-hit, tough-to-control offspeed pitch with little to no rotation on the ball.",Normal,20,65,50,,,,Knuckle
KnuckleCurve,Pitching,A faster than normal curveball thrown with the index knuckle on the ball.,Normal,20,75,75,,,,Curve
Moneyball,Pitching,Crowds pay big money to see this curve.,Normal,15,70,100,,,,Curve
Palmball,Pitching,"Same motion as a fastball, but much slower.",Normal,30,70,90,,,,Straight
Quick Swing,Batting,A quick swing for contact.,Normal,30,40,100,10,,,
Rage,Pitching,"Nothing but fastballs, each one thrown harder than the last.",Normal,20,80,75,,,,Straight
Scowl,Batting,Takes a pitch. Lowers the infield's Throwing by 1 stage.,Normal,40,0,100,,,,
Screwball,Pitching,A curveball that breaks away from the pitcher instead of inward.,Normal,20,75,80,,,,Screw
Seppukuball,Pitching,A hard thrown shuuto that destroy's the pitcher's shoulder.,Normal,5,100,90,,,,Fade
Shuuto,Pitching,"Similar to the screwball, the shuuto breaks away from the pitcher and can jam a hitter.",Normal,20,70,80,,,,Fade
Sinker,Pitching,A fastball with a dropping spin. Has an increased risk of wild pitches.,Normal,25,80,85,,,,Drop
Slash,Batting,Has a high critical hit ratio.,Normal,20,70,100,-5,,,
Slider,Pitching,Breaks in hard from the pitcher.,Normal,20,80,80,,,,Slider
Slurve,Pitching,A curveball with more inward than downward motion.,Normal,25,70,80,,,,Slurve
Smash,Batting,A hard hit ball with a good lanuch angle. Batter takes the next pitch to recover.,Normal,20,150,75,25,,,
Soft Toss,Pitching,An eephus that restores half the pitcher's health.,Normal,10,25,95,,,,
Splitter,Pitching,A fastball thrown with the index and middle fingers split on either side of the ball. Looks like a four-seam until it drops off the table.,Normal,15,80,90,,,,Drop
Stomp,Batting,A hack with a big step. Has a ~30% chance to make the target balk on the next pitch.,Normal,20,65,100,30,,,
Strength,Batting,A big swing that can muscle anything deep.,Normal,15,100,100,35,,,
Struggle,Batting,"Used automatically when all of the user's other moves have run out of PP or are otherwise inaccessible. The user receives 1/4 recoil damage. Struggle is classified as a Normal-type move, so it is resisted by Rock-type Pokemon and cannot hit Ghost-type Pokemon at all.",Normal,1,50,100,0,,,
Study,Batting,Takes the pitch. Learns the pitch.,Normal,20,0,100,,,,
Submarine,Pitching,A knuckle scraper. Starts at the knees and finishes high.,Normal,15,75,80,,,,
Swat,Batting,An ugly swing that always manages to make contact.,Normal,20,30,100,,,,
Swing,Batting,An simple swing for contact.,Normal,35,35,95,15,,,
Three-Seam,Pitching,A two-seam fastball with a little extra tail.,Normal,15,90,80,,,,Fade
Toss,Pitching,An easy pitch.,Normal,35,40,100,,,,Straight
Two-Seam,Pitching,A two-seam fastball. It tails away from the pitcher.,Normal,30,80,90,,,,Fade
Vulcan,Pitching,A changeup thrown like a Star Trek greeting.,Normal,30,70,90,,,,Drop
Wiff,Batting,Swing... and a miss.,Normal,40,0,100,,,,
Filth,Pitching,A filthy breaking changeup. Has a 30% chance to poison the batter.,Poison,10,90,100,,,,Fade
Nasty Curve,Pitching,A hard curveball with a 25% chance to poison the batter.,Poison,10,80,100,,,,Curve
Gas,Pitching,Straight gas. 10% chance of poisioning the batter.,Poison,10,120,70,,,,Straight
Puff,Batting,A nasty puff of smoke. Good contact swing. Has a ~30% chance to poison the catcher.,Poison,20,20,100,20,,,
Blink,Pitching,A fastball that seems to jump from the mound to the plate in the blink of an eye.,Psychic,10,100,50,,,,Straight
Brain Melter,Pitching,A fastball with a ~30% chance to lower the batter's Batting by 1 stage.,Psychic,15,90,100,,,,Straight
Hypnosis,Batting,"Takes a pitch, and puts the pitcher into a trance. Pitcher sleeps on the runners.",Psychic,20,0,60,,,,
Kinesis,Batting,Takes a pitch. Lowers the pitcher's Accuracy by 1 stage.,Psychic,15,0,80,,,,
Meditate,Batting,Takes a pitch. Raises the user's Batting by 1 stage.,Psychic,10,0,100,,,,
Predict,Batting,Takes a pitch. Increases the batter's critical hit ratio.,Psychic,10,0,100,,,,
Psych Out,Batting,Takes a pitch. Lowers the pitcher's Throwing by 1 stage.,Psychic,15,0,80,,,,
Rest,Batting,Takes the next two pitches. Restores health fully.,Psychic,10,0,100,,,,
Rock,Pitching,A hard sinking fastball that never leaves the infield.,Rock,5,50,65,,,,Drop
Rock Hammer,Batting,A primative chop.,Rock,10,100,90,-20,,,
Rock Slider,Pitching,A slider with with a heavy drop to it.,Rock,10,70,75,,,,Slider
Bubbleball,Pitching,A slippery pitch that floats like a bubble,Water,15,90,65,,,,Rise
Crabhammer,Batting,Has a high critical hit ratio.,Water,10,90,85,30,,,
Hydro Cannon,Pitching,A hard fastball with some sweat on it.,Water,5,120,80,,,,Straight
Shell,Batting,An absolute missile with splash damage.,Water,5,120,80,5,,,
Spitball,Pitching,A little spit on the fingers causes the ball to tumble forward. Can be wild.,Water,20,80,70,,,,Drop
Surf,Pitching,A kunckleball with a flight pattern similar to a wave.,Water,10,60,65,,,,Knuckle
Withdraw,Batting,Takes a pitch. Raises the user's Batting by 1 stage.,Water,20,0,100,,,,
